date,min_lat,max_lat,min_lon,max_lon,avg_brightness,avg_confidence
2021-08-26 03:05,42.2952,42.2961,-83.1639,-83.1579,305.25,63.0
2021-08-26 03:07,47.5214,47.5479,-91.6238,-91.5692,307.5,47.333333333333336
2021-08-26 04:41,31.8532,34.0903,-101.8155,-94.0813,308.40000000000003,72.33333333333333
2021-08-26 04:42,36.3216,36.3216,-96.3396,-96.3396,307.5,70.0
2021-08-26 04:43,38.6746,38.6746,-101.8352,-101.8352,300.3,21.0
2021-08-26 04:44,42.6811,42.6811,-111.589,-111.589,319.7,99.0
2021-08-26 04:45,45.5272,47.5426,-115.8103,-91.5772,306.475,49.75
2021-08-26 06:21,35.6705,38.0692,-120.4621,-118.5232,318.2181818181818,61.54545454545455
2021-08-26 06:22,38.6135,41.6027,-123.4894,-120.1444,325.55086206896556,77.8146551724138
2021-08-26 06:23,42.8811,45.5355,-122.903,-115.8125,313.3846153846154,53.46153846153846
2021-08-26 07:21,39.4751,41.4687,-84.3802,-81.6733,305.65,65.0
2021-08-26 08:57,47.5387,47.5456,-91.6175,-91.5888,304.15,57.5
2021-08-26 09:02,32.2885,32.2885,-101.7388,-101.7388,301.9,45.0
2021-08-26 10:37,44.8595,46.864,-122.0687,-121.0179,306.92,57.6
2021-08-26 10:38,40.0076,41.6018,-123.4802,-120.738,319.66470588235296,72.11764705882354
2021-08-26 10:39,35.6593,38.8092,-120.5959,-118.5437,328.0655172413793,77.20689655172414
2021-08-26 13:53,52.077,52.077,-176.1265,-176.1265,306.0,40.0
2021-08-26 16:42,39.6336,41.9741,-88.8349,-77.2169,317.3333333333333,54.5
2021-08-26 16:43,35.3906,40.6448,-97.4296,-76.8067,319.40434782608696,55.69565217391305
2021-08-26 16:44,32.6354,37.2914,-98.5285,-79.6469,323.6775,60.9
2021-08-26 16:45,30.2615,33.5903,-95.4719,-86.7611,326.15,68.11111111111111
2021-08-26 18:20,45.5695,46.7701,-121.2391,-105.9022,331.0,65.0
2021-08-26 18:21,41.4924,41.5987,-123.3459,-123.3023,321.84999999999997,57.666666666666664
2021-08-26 18:22,37.2724,40.6225,-121.3522,-116.1864,339.4125,72.375
2021-08-26 18:23,27.1467,36.3361,-118.5926,-81.3175,327.15,59.625
2021-08-26 18:24,31.7455,34.438,-86.7902,-81.8974,314.26,64.4
2021-08-26 18:25,34.099,37.3763,-90.8922,-77.1881,325.6047619047619,68.04761904761905
2021-08-26 18:26,38.3624,41.686,-81.7038,-71.1529,316.3375,47.125
